name_da,new_id,name
"TMI#R131.8.5""Foresterrescuesabandonedchild.""",R131.8.5,"TMI # R131.8.5 ""Foresterrescuesabandonedchild."""
"TMI#D141""Transformation:mantodog.""",D141,"TMI # D141 ""Transformation: mantodog."""
"TMI#K2155.1""Bloodsmearedoninnocentpersonbringsaccusationofmurder.""",K2155.1,"TMI # K2155.1 ""Bloodsmearedoninnocentpersonbringsaccusationofmurder."""
"TMI#D1761.0.1""Wishesgrantedwithoutlimit.""",D1761.0.1,"TMI # D1761.0.1 ""Wishesgrantedwithoutlimit."""
"TMI#D711.4""Disenchantmentfromflowerbybreakingstalk.""",D711.4,"TMI # D711.4 ""Disenchantmentfromflowerbybreakingstalk."""
"TMI#T52.1""Princebuystwig(flower)(enchantedgirl)fromhermother.""",T52.1,"TMI # T52.1 ""Princebuystwig (flower) (enchantedgirl) fromhermother."""
"TMI#K2250""Treacherousservantsandworkmen.""",K2250,"TMI # K2250 ""Treacherousservantsandworkmen."""
"TMI#A1075""EndofworldheraldedbycomingofAntichrist,agiganticdestructiveone-eyedmonster.""",A1075,"TMI # A1075 ""EndofworldheraldedbycomingofAntichrist, agiganticdestructiveone-eyed monster."""
"TMI#A""MYTHOLOGICALMOTIFS.""",A,"TMI # A ""MYTHOLOGICALMOTIFS."""
"TMI#TMI""ThompsonMotifIndexofFolk-literature""",TMI,"TMI # TMI ""ThompsonMotifIndexofFolk-literature"""
"TMI#A1673""Tribalcharacteristics--industry.""",A1673,"TMI # A1673 ""Tribalcharacteristics - industry."""
"TMI#H1065""Task:bringingbestfriend,worstenemy,bestservant,greatestpleasure-giver.""",H1065,"TMI # H1065 ""Task: bringingbestfriend, worstenemy, bestservant, greatestpleasure-giving."""
"ATU#875""TheCleverFarmgirl""",875,"ATU # 875 ""TheCleverFarmgirl"""
"TMI#J1111.4""Cleverpeasantdaughter.""",J1111.4,"TMI # J1111.4 ""Cleverpeasantdaughter."""
"TMI#H561.1""Cleverpeasantgirlaskedriddlesbyking.""",H561.1,"TMI # H561.1 ""Cleverpeasantgirlaskedriddlesbyking."""
ATU#The_Woman_Marries_the_Prince_870–879TheWomanMarriesthePrince,The_Woman_Marries_the_Prince_870_AI879,ATU # The_Woman_Marries_the_Prince_870-879TheWomanMarriesthePrince
"TMI#J1191.1""Reductioadabsurdum:thedecisionaboutthecolt.""",J1191.1,"TMI # J1191.1 ""Reductioadabsurdum: thedecisionaboutthecolt."""
"TMI#H601""Wisecarvingofthefowl.""",H601,"TMI # H601 ""Wisecarvingofthefowl."""
"TMI#H561.1.2""Foundmortartakentokingrevealspeasantgirl'swisdom.""",H561.1.2,"TMI # H561.1.2 ""Foundmortartakentokingrevealspeasantgirl'swisdom."""
"TMI#H641.1""Whatismostbeautiful?Thespring.""",H641.1,"TMI # H641.1 ""Whatismostbeautiful? Thespring."""
"TMI#H1024.1""Task:milkingabull.""",H1024.1,"TMI # H1024.1 ""Task: milkingabull."""
"TMI#H1023.9""Task:mendingabrokenjug.""",H1023.9,"TMI # H1023.9 ​​""Task: mendingabrokenjug."""
"TMI#J1191.2""Suitforchickensproducedfromboiledeggs.""",J1191.2,"TMI # J1191.2 ""Suitforchickensproducedfromboiledeggs."""
"TMI#H373""Bridetest:performanceoftasks.""",H373,"TMI # H373 ""Bride Test: performanceoftasks."""
"TMI#H1152.1""Task:sellingasheep(goat)andbringingitbackalongwiththemoney.""",H1152.1,"TMI # H1152.1 ""Task: sell inga sheep (goat) andbringingitbackalongwiththemoney."""
"TMI#H712""Riddle:howmuchismybeard(king's)worth?""",H712,"TMI # H712 ""Riddle: howmuchismybeard (king's) worth?"""
"TMI#H1021.6.1""Task:weavingasilkshirtfromhair;countertask:makingaloomfromshavings.""",H1021.6.1,"TMI # H1021.6.1 ""Task: weavingasilkshirtfromhair cabinets task: makingaloomfromshavings."""
"TMI#H1024.1.1""Task:makingabullbearacalf.""",H1024.1.1,"TMI # H1024.1.1 ""Task: makingabullbearacalf."""
"TMI#H1010""Impossibletasks.""",H1010,"TMI # H1010 ""Impossibletasks."""
"TMI#H951""Countertasks.""",H951,"TMI # H951 ""Countertasks."""
"TMI#H1185""Task:preparingthefood“Ohmy”.""",H1185,"TMI # H1185 ""Task: preparingthefood"" ohmy ""."""
"TMI#H1023.1.1""Task:hatchingboiledeggs;countertask:sowingcookedseedsandharvestingthecrop.""",H1023.1.1,"TMI # H1023.1.1 ""Task: hatchingboiledeggs cabinets task: sowingcookedseedsandharvestingthecrop."""
"TMI#H105""Partsofslainanimalsastokenofslaying.""",H105,"TMI # H105 ""Partsofslainanimalsastokenofslaying."""
"TMI#H1022.1""Task:weavingclothfromtwothreads.""",H1022.1,"TMI # H1022.1 ""Task: weavingclothfromtwothreads."""
"TMI#H631.3""Whatisstrongest?Earth.""",H631.3,"TMI # H631.3 ""Whatisstrongest? Earth."""
"TMI#H1021.1""Task:makingaropeofsand.""",H1021.1,"TMI # H1021.1 ""Task: makingaropeofsand."""
"TMI#H583.9""Maiden(toking):ShallIfeedyouwithlossorgain.""",H583.9,"TMI # H583.9 ""Maiden (toking): ShallIfeedyouwithlossorgain."""
"TMI#H1023.7""Task:sewingtogetherabrokenmill-stone.""",H1023.7,"TMI # H1023.7 ""Task: sewingtogetherabrokenmill-stone."""
"TMI#H1023.1""Task:hatchingboiledeggs.""",H1023.1,"TMI # H1023.1 ""Task: hatchingboiledeggs."""
"TMI#H583.8""Maiden(toking):Thehousehasneithereyesnorears.""",H583.8,"TMI # H583.8 ""Maiden (toking): Thehousehasneithereyesnorears."""
"TMI#J1545.4""Theexiledwife'sdearestpossession.""",J1545.4,"TMI # J1545.4 ""Theexiledwife'sdearestpossession."""
"TMI#H63""Recognitionofothertransformedpersons.""",H63,"TMI # H63 ""Recognitionofothertransformedpersons."""
"TMI#H583.7""King:WhereshallItiemyhorse?Maiden:Betweensummerandwinter.""",H583.7,"TMI # H583.7 ""King: WhereshallItiemyhorse? Maiden: Between Buzz Rand Winter."""
"TMI#E728.1""Evilspiritcastoutofperson.""",E728.1,"TMI # E728.1 ""Evilspiritcastoutofperson."""
"TMI#E728""Evilspiritpossessesperson.""",E728,"TMI # E728 ""Evilspiritpossessesperson."""
"TMI#E""THEDEAD.""",E,"TMI # E ""THEDEAD."""
"ATU#1200""SowingSalt""",1200,"ATU # 1200 ""SowingSalt"""
"TMI#J2348""Dupeispersuadedthatmoneywillgrowifheburiesit.""",J2348,"TMI # J2348 ""Dupeispersuadedthatmoneywillgrowifheburiesit."""
"TMI#J1932.3""Sowingsalttoproducesalt.""",J1932.3,"TMI # J1932.3 ""Sowingsalttoproducesalt."""
"TMI#J1932.5""Sowingneedles(likeseed).""",J1932.5,"TMI # J1932.5 ""Sowingneedles (likeseed)."""
ATU#Stories_about_a_Fool_1200–1349Schildbürgergeschichten(Gruppennarren),Stories_about_a_Fool_1200_AI1349,ATU # Stories_about_a_Fool_1200-1349Schildbürgergeschichten (Gruppennarren)
"TMI#J1932.1""Numskullssowcookedgrain.""",J1932.1,"TMI # J1932.1 ""Numskullssowcookedgrain."""
"TMI#J1932.4""Plantingahoginordertogrowpigs.""",J1932.4,"TMI # J1932.4 ""Plantingahoginordertogrowpigs."""
"TMI#D1413.1""Treefromwhichonecannotdescend.""",D1413.1,"TMI # D1413.1 ""Treefromwhichonecannotdescend."""
"TMI#D1413""Magicobjectholdspersonfast.""",D1413,"TMI # D1413 ""MagicObject Hold Person Fast."""
"ATU#330""TheSmithandtheDevil(previouslyTheSmithOutwitstheDevil)""",330,"ATU # 330 ""TheSmithandtheDevil (previouslyTheSmithOutwitstheDevil)"""
"ATU#571""“AllStickTogether”""",571,"ATU # 571 """" AllStickTogether """""
"TMI#D""MAGIC.""",D,"TMI # D ""MAGIC."""
ATU#Catch_Tales_2200–2299Fragegeschichten,Catch_Tales_2200_AI2299,ATU # Catch_Tales_2200-2299Fragegeschichten
ATU#FORMULA_TALES_(2000–2399)FORMULATALES,FORMULA_TALES__2000_AI2399_,ATU # FORMULA_TALES_ (2000-2399) FORMULA TALES
"TMI#ATU""TheTypesofInternationalFolktalesAarne-Thompson-Uther""",ATU,"TMI # ATU ""TheTypesofInternationalFolktalesAarne-Thompson-Uther"""
"TMI#D1620.2.3""Deerofgoldandjewelspossessinglife.""",D1620.2.3,"TMI # D1620.2.3 ""Deerofgoldandjewelspossessinglife."""
"TMI#D1620.2""Automaticstatueofanimal.""",D1620.2,"TMI # D1620.2 ""Automaticstatueofanimal."""
"TMI#D1620""Magicautomata.""",D1620,"TMI # D1620 ""Magicautomata."""
"ATU#450""LittleBrotherandLittleSister""",450,"ATU # 450 ""LittleBrotherandLittleSister"""
"TMI#D135""Transformation:mantosheep.""",D135,"TMI # d135 ""Transformation: mantosheep."""
"TMI#D114.1.1""Transformation:mantodeer.""",D114.1.1,"TMI # D114.1.1 ""Transformation: mantodeer."""
"TMI#S31""Cruelstepmother.""",S31,"TMI # S31 ""Cruelstepmother."""
"TMI#K1911.1.2""Falsebridetakestruebride'splacewhenchildisborn.""",K1911.1.2,"TMI # K1911.1.2 ""Falsebridetakestruebride'splacewhenchildisborn."""
"TMI#D150""Transformation:mantobird.""",D150,"TMI # D150 ""Transformation: mantobird."""
"TMI#D170""Transformation:mantofish.""",D170,"TMI # D170 ""Transformation: mantofish."""
"TMI#K1911""Thefalsebride(substitutedbride).""",K1911,"TMI # K1911 ""Thefalsebride (substitutedbride)."""
"TMI#E323.1.1""Deadmotherreturnstosucklechild.""",E323.1.1,"TMI # E323.1.1 ""Deadmotherreturnstosucklechild."""
"TMI#S142""Personthrownintothewaterandabandoned.""",S142,"TMI # S142 ""Personthrownintothewaterandabandoned."""
"TMI#H13""Recognitionbyoverheardconversation(usuallywithanimalsorobjects).""",H13,"TMI # H13 ""Recognitionbyoverheardconversation (usuallywithanimalsorobjects)."""
"TMI#P253.2""Sisterfaithfultotransformedbrother.""",P253.2,"TMI # P253.2 ""Sisterfaithfultotransformedbrother."""
"TMI#N711.1""King(prince)findsmaideninwoods(tree)andmarriesher.""",N711.1,"TMI # N711.1 ""King (prince) findsmaideninwoods (tree) andmarriesher."""
"TMI#K1911.2.2.1""Truebridelivesinfish'sbelly.""",K1911.2.2.1,"TMI # K1911.2.2.1 ""Truebridelivesinfish'sbelly."""
"TMI#D555""Transformationbydrinking.""",D555,"TMI # D555 ""Transformationbydrinking."""
ATU#Brother_or_Sister_450–459BrotherorSister,Brother_or_Sister_450_AI459,ATU # Brother_or_Sister_450-459BrotherorSister
"TMI#S31.5""Girlpersuadesherfathertomarryawidowwhohastreatedherkindly.""",S31.5,"TMI # S31.5 ""Girlpersuadesherfathertomarryawidowwhohastreatedherkindly."""
"TMI#D688""Transformedmothersuckleschild.""",D688,"TMI # D688 ""Transformedmothersuckleschild."""
"ATU#1832M*""Clergyman'sWordsRepeated""",1832M*,"ATU # 1832M * ""Clergyman'sWordsRepeated"""
ATU#Other_Jokes_about_Religious_Figures_1800–1849OtherJokesaboutReligiousFigures,Other_Jokes_about_Religious_Figures_1800_AI1849,ATU # Other_Jokes_about_Religious_Figures_1800-1849OtherJokesaboutReligiousFigures
"TMI#J2498.2""Priest'swordsrepeated.""",J2498.2,"TMI # J2498.2 ""Priest'swordsrepeated."""
ATU#Jokes_about_Clergymen_and_Religious_Figures_1725–1849SchwänkeüberGeistlicheundandereKirchenvertreter,Jokes_about_Clergymen_and_Religious_Figures_1725_AI1849,ATU # Jokes_about_Clergymen_and_Religious_Figures_1725-1849SchwänkeüberGeistlicheundandereKirchenvertreter
"ATU#1380A*""ThePetitionerFooled(previouslyWifetoSpin)""",1380A*,"ATU # 1380A * ""ThePetitionerFooled (previouslyWifetoSpin)"""
"TMI#K1971.4""Husbandbehindsaint'sstatueadviseswifetospin.""",K1971.4,"TMI # K1971.4 ""Husbandbehindsaint'sstatueadviseswifetospin."""
"TMI#K1971.3.1""MaidbehindstatueofVirginadvisesthemistresstogivetheservantsbetterfood.""",K1971.3.1,"TMI # K1971.3.1 ""MaidbehindstatueofVirginadvisesthemistresstogivetheservantsbetterfood."""
"TMI#K1971.5""HusbandasGodbehindthetreeforceshiswifetoconfessadultery.""",K1971.5,"TMI # K1971.5 ""HusbandasGodbehindthetreeforceshiswifetoconfessadultery."""
ATU#The_Foolish_Wife_and_her_Husband_1380–1404TheFoolishWifeandherHusband,The_Foolish_Wife_and_her_Husband_1380_AI1404,ATU # The_Foolish_Wife_and_her_Husband_1380-1404TheFoolishWifeandherHusband
"TMI#K1971""Manbehindstatue(tree)speaksandpretendstobeGod(spirit).""",K1971,"TMI # K1971 ""Manbehindstatue (tree) speaksandpretendstobeGod (spirit)."""
"TMI#Q223.9""Neglecttofastpunished.""",Q223.9,"TMI # Q223.9 ""Neglecttofastpunished."""
"TMI#Q223""Punishmentforneglectofservicestogods(God).""",Q223,"TMI # Q223 ""Punishmentforneglectofservicestogods (God)."""
"TMI#Q""REWARDSANDPUNISHMENTS.""",Q,"TMI # Q ""REWARDSANDPUNISHMENTS."""
"ATU#800""TheTailorinHeaven""",800,"ATU # 800 ""TheTailorinHeaven"""
"TMI#P441.1""TailoroccupiesGod'sthroneforaday.""",P441.1,"TMI # P441.1 ""TailoroccupiesGod'sthroneforaday."""
"TMI#A661.0.1.2""SaintPeterasporterofheaven.""",A661.0.1.2,"TMI # A661.0.1.2 ""SaintPeterasporterofheaven."""
ATU#Heaven_800–809Heaven,Heaven_800_AI809,ATU # Heaven_800-809Heaven
"TMI#L435.3""Self-righteoustailorinheavenexpelled.""",L435.3,"TMI # L435.3 ""Self-righteoustailorinheavenexpelled."""
"TMI#F1037.1""Footstoolthrownfromheaven.""",F1037.1,"TMI # F1037.1 ""Footstoolthrownfromheaven."""
"TMI#N451""Secretsoverheardfromanimal(demon)conversation.""",N451,"TMI # N451 ""Secret Overheard From Animal (demon) conversation."""
"ATU#673""TheWhiteSerpent'sFlesh""",673,"ATU # 673 ""TheWhiteSerpent'sFlesh"""
"ATU#517""TheBoywhoUnderstandstheLanguageofBirds(previouslyTheBoywhoLearnedManyThings)""",517,"ATU # 517 ""TheBoywhoUnderstandstheLanguageofBirds (previouslyTheBoywhoLearnedManyThings)"""
"TMI#N""CHANCEANDFATE.""",N,"TMI # N ""CHANCEANDFATE."""
"ATU#516""FaithfulJohn""",516,"ATU # 516 ""FaithfulJohn"""
"ATU#670""TheManwhoUnderstandsAnimalLanguages(previouslyTheAnimalLanguages)""",670,"ATU # 670 ""TheManwhoUnderstandsAnimalLanguages ​​(previouslyTheAnimalLanguages)"""
"TMI#B217.1.1""Animallanguageslearnedfromeatingserpent.""",B217.1.1,"TMI # B217.1.1 ""Animallanguageslearnedfromeatingserpent."""
"TMI#B268.2""Cavalryofdogs.""",B268.2,"TMI # B268.2 ""Cavalryofdogs."""
"TMI#B268""Animalsoldiers.""",B268,"TMI # B268 ""Animalsoldiers."""
"TMI#B""ANIMALS.""",B,"TMI # B ""ANIMALS."""
"ATU#565""TheMagicMill""",565,"ATU # 565 ""TheMagicMill"""
"TMI#D1651.3""Magiccooking-potobeysonlymaster.""",D1651.3,"TMI # D1651.3 ""Magic Cooking-potobeysonlymaster."""
"TMI#C916.3""Magicporridge-potkeepscooking.""",C916.3,"TMI # C916.3 ""Magicporridge-potkeepscooking."""
"TMI#D1472.1.9""Magicpotsuppliesfoodanddrink.""",D1472.1.9,"TMI # D1472.1.9 ""Magicpotsuppliesfoodanddrink."""
"TMI#D1651""Magicobjectobeysmasteralone.""",D1651,"TMI # D1651 ""Magicobjectobeysmasteralone."""
"TMI#D1601.21.1""Self-grindingsalt-mill.""",D1601.21.1,"TMI # D1601.21.1 ""Self-grinding salt-mill."""
"TMI#D1601.10.1""Self-cookingpot.""",D1601.10.1,"TMI # D1601.10.1 ""Self-cookingpot."""
ATU#Magic_Objects_560–649MagicObjects560–649,Magic_Objects_560_AI649,ATU # Magic_Objects_560-649MagicObjects560-649
"TMI#A1115.2""Whytheseaissalt:magicsaltmill.""",A1115.2,"TMI # A1115.2 ""Whytheseaissalt: magic salt mill."""
"TMI#E480""Abodeofthedead.""",E480,"TMI # E480 ""Abodeofthedead."""
"ATU#511""One-Eye,Two-Eyes,Three-Eyes""",511,"ATU # 511 ""One-Eye, Two-Eyes, Three-Eyes"""
"TMI#B115""Animalwithhornofplenty.""",B115,"TMI # B115 ""Animalwithhornofplenty."""
"TMI#D1461""Magictreefurnishestreasure.""",D1461,"TMI # D1461 ""Magictreefurnishestreasure."""
"TMI#B535.0.1""Cowasnursecaresforchildren.""",B535.0.1,"TMI # B535.0.1 ""Cowasnursecaresforchildren."""
"TMI#D1470.2""Provisionsreceivedfrommagicobject.""",D1470.2,"TMI # D1470.2 ""Provisionsreceivedfrommagicobject."""
"TMI#B505""Magicobjectreceivedfromanimal.""",B505,"TMI # B505 ""Magicobjectreceivedfromanimal."""
"TMI#F512.1""Personwithoneeye.""",F512.1,"TMI # F512.1 ""Personwithoneeye."""
"TMI#B100.1""Treasurefoundinslainhelpfulanimal.""",B100.1,"TMI # B100.1 ""Treasurefoundinslainhelpfulanimal."""
"TMI#H31.12""Onlyonemanisabletopluckfruitsfromtree.""",H31.12,"TMI # H31.12 ""Onlyonemanisabletopluckfruitsfromtree."""
"TMI#F512.2.1.1""Three-eyedperson.""",F512.2.1.1,"TMI # F512.2.1.1 ""Three-eyed person."""
"TMI#D830.1""Attempttolearnaboutmagicobjectbyspying.""",D830.1,"TMI # D830.1 ""Attempttolearnaboutmagicobjectbyspying."""
ATU#Supernatural_Helpers_500–559SupernaturalHelpers,Supernatural_Helpers_500_AI559,ATU # Supernatural_Helpers_500-559SupernaturalHelpers
"TMI#C513""Tabu:breakingtwig.""",C513,"TMI # C513 ""Tabu: breakingtwig."""
"TMI#F811.1""Treesofextraordinarymaterial.""",F811.1,"TMI # F811.1 ""Treesofextraordinarymaterial."""
"TMI#G303.1.1.2""DeviloriginatesfromGod'sspittle.""",G303.1.1.2,"TMI # G303.1.1.2 ""DeviloriginatesfromGod'sspittle."""
"TMI#G303.1.1""ThedeviloriginatesfromGod.""",G303.1.1,"TMI # G303.1.1 ""ThedeviloriginatesfromGod."""
"TMI#G303.1""Theoriginofthedevilandhiscompanions.""",G303.1,"TMI # G303.1 ""Theoriginofthedevilandhiscompanions."""
"TMI#D1761.0.2""Limitednumberofwishesgranted.""",D1761.0.2,"TMI # D1761.0.2 ""Limitednumberofwishesgranted."""
"TMI#D1761.0""""",D1761.0,"TMI # D1761.0 """""
"ATU#750A""TheThreeWishes(previouslyTheWishes)""",750A,"ATU # 750A ""TheThreeWishes (previouslyTheWishes)"""
"TMI#D1761""Magicresultsproducedbywishing.""",D1761,"TMI # D1761 ""Magicresultsproducedbywishing."""
"ATU#10***""TheFallovertheEdge(previouslyOvertheEdge)""",10***,"ATU # 10 *** ""TheFallovertheEdge (previouslyOvertheEdge)"""
"TMI#K891.5.2""Dupecrowdedoverprecipice.""",K891.5.2,"TMI # K891.5.2 ""Dupecrowdedoverprecipice."""
"TMI#K891.5.1""Animals(giants)enticedoverprecipice.""",K891.5.1,"TMI # K891.5.1 ""Animals (Giants) enticedoverprecipice."""
ATU#The_Clever_Fox_(Other_Animal)_1–69TheCleverFox(OtherAnimal),The_Clever_Fox__Other_Animal__1_AI69,ATU # The_Clever_Fox_ (Other_Animal) _1-69TheCleverFox (other animal)
"TMI#D1847""Lossofinvulnerability.""",D1847,"TMI # D1847 ""Lossofinvulnerability."""
"ATU#122G""“WashMe”(“SoakMe”)beforeEating""",122G,"ATU # 122g """" WashMe ""("" SoakMe "") beforeEating"""
"TMI#K553.5""”SoakmeinthepondsothatIwillbejuicy.“""",K553.5,"TMI # K553.5 """" SoakmeinthepondsothatIwillbejuicy. """""
ATU#Wild_Animals_and_Domestic_Animals_100–149WildtiereundHaustiere,Wild_Animals_and_Domestic_Animals_100_AI149,ATU # Wild_Animals_and_Domestic_Animals_100-149WildtiereundHaustiere
"TMI#F405.7""Spiritleaveswhenreportismadeofthedeathofoneofhiskind.""",F405.7,"TMI # F405.7 ""Spiritleaveswhenreportismadeofthedeathofoneofhiskind."""
"TMI#F405""Meansofcombatingspirits.""",F405,"TMI # F405 ""Meansofcombatingspirits."""
"TMI#F""MARVELS.""",F,"TMI # F ""Marvels."""
"ATU#1457""TheLispingMaiden""",1457,"ATU # 1457 ""TheLispingMaiden"""
ATU#Looking_for_a_Wife_1450–1474Brautproben,Looking_for_a_Wife_1450_AI1474,ATU # Looking_for_a_Wife_1450-1474Brautproben
"TMI#K1984.1""Thelispingsisters.""",K1984.1,"TMI # K1984.1 ""Thelispingsisters."""
ATU#Stories_about_a_Woman_1440–1524SchwänkeüberjungeundalteFrauen,Stories_about_a_Woman_1440_AI1524,ATU # Stories_about_a_Woman_1440-1524SchwänkeüberjungeundalteFrauen
"TMI#N821""Helpfromlittleman.""",N821,"TMI # N821 ""Helpfromlittleman."""
"ATU#570""TheRabbit-herd""",570,"ATU # 570 ""TheRabbit-herd"""
"ATU#513B""TheLandandWaterShip""",513B,"ATU # 513b ""TheLandandWaterShip"""
"TMI#H1045""Task:fillingasackfulloflies(truths).""",H1045,"TMI # H1045 ""Task: fillingasackfulloflies (truths)."""
"TMI#K1271.1.1""Thebagoflies:threattotellofqueen'sadultery.""",K1271.1.1,"TMI # K1271.1.1 ""Thebagoflies: threattotellofqueen'sadultery."""
"TMI#T68""Princessofferedasprize.""",T68,"TMI # T68 ""Princessofferedasprize."""
"TMI#H335""Tasksassignedsuitors.""",H335,"TMI # H335 ""Tasksassignedsuitors."""
"TMI#K1358""Girlshowsherselfnakedinreturnforyouth'sdancinghogs.""",K1358,"TMI # K1358 ""Girlshowsherselfnakedinreturnforyouth'sdancinghogs."""
"TMI#H1112""Task:herdingrabbits.""",H1112,"TMI # H1112 ""Task: herdingrabbits."""
"TMI#K1288""Kinginducedtokisshorse'srump:tricksterthenthreatenstotell.""",K1288,"TMI # K1288 ""Kinginducedtokisshorse'srump: tricksterthenthreatenstotell."""
"TMI#D1441.1.2""Magicpipecallsanimalstogether.""",D1441.1.2,"TMI # D1441.1.2 ""Magicpipecallsanimalstogether."""
"TMI#A620""Spontaneouscreationofuniverse.""",A620,"TMI # A620 ""Spontaneouscreationofuniverse."""
"TMI#K1691""Thewomanascuckooonthetreeshotdown.""",K1691,"TMI # K1691 ""Thewomanascuckooonthetreeshotdown."""
"TMI#K""DECEPTIONS.""",K,"TMI # K ""DECEPTIONS."""
"ATU#1029""TheWomanasCuckoointheTree""",1029,"ATU # 1029 ""TheWomanasCuckoointheTree"""
"ATU#1000""ContestNottoBecomeAngry""",1000,"ATU # 1000 ""ContestNottoBecomeAngry"""
"TMI#F613.3""Strongman'slaborcontract:angerbargain.""",F613.3,"TMI # F613.3 ""Strongman'slaborcontract: angerbargain."""
ATU#Labor_Contract_1000–1029LaborContract,Labor_Contract_1000_AI1029,ATU # Labor_Contract_1000-1029LaborContract
"TMI#K172""Angerbargain.""",K172,"TMI # K172 ""Angerbargain."""
"ATU#1698G""MisunderstoodWordsLeadtoComicResults""",1698G,"ATU # 1698G ""MisunderstoodWordsLeadtoComicResults"""
"TMI#X111.6""Thedeafmanandtheproudnobleman.""",X111.6,"TMI # X111.6 ""Thedeafmanandtheproudnobleman."""
ATU#The_Stupid_Man_1675–1724DerdummeMann,The_Stupid_Man_1675_AI1724,ATU # The_Stupid_Man_1675-1724DerdummeMann
ATU#1698F,1698F,ATU # 1698F
"TMI#D812 ""Magic object received from supernatural being.""",D812,"TMI # D812 ""Magic object received from supernatural being."""
"TMI#A74 ""Reluctant creator.""",A74,"TMI # A74 ""Reluctant creator."""
"TMI#A1546.3 ""Origin of Christian worship.""",A1546.3,"TMI # A1546.3 ""Origin of Christian worship."""
"TMI#A1546 ""Origin of worship.""",A1546,"TMI # A1546 ""Origin of worship."""
"TMI#B505.1 ""Magic object received from animal brother-in-law.""",B505.1,"TMI # B505.1 ""Magic object received from animal brother-in-law."""
"ATU#552 ""The Girls Who Married Animals""",552,"ATU # 552 ""The Girls Who Married Animals"""
"TMI#C26 ""Wish for animal husband realized.""",C26,"TMI # C26 ""Wish for animal husband realized."""
"TMI#J2411.3 ""Unsuccessful imitation of magic production of food.""",J2411.3,"TMI # J2411.3 ""Unsuccessful imitation of food production magic."""
"TMI#D620 ""Periodic transformation.""",D620,"TMI # D620 ""Periodic transformation."""
"TMI#D621.1 ""Animal by day; man by night.""",D621.1,"TMI # D621.1 ""Animal by day; man by night."""
"TMI#B640 ""Marriage to person in animal form.""",B640,"TMI # B640 ""Marriage to person in animal form."""
"TMI#D2105 ""Provisions magically furnished.""",D2105,"TMI # D2105 ""Provisions magically furnished."""
"TMI#S221.1 ""Bankrupt father sells his daughters in marriage to animals.""",S221.1,"TMI # S221.1 ""Bankrupt father sells his daughters in marriage to animals."""
"TMI#B501 ""Animal gives part of body as talisman for summoning its aid.""",B501,"TMI # B501 ""Animal gives part of body as talisman for summoning its aid."""
